1993 08 01 00 00    0.00   0.00    NaN   0.00
1993 08 01 00 09    0.00   0.00    NaN   0.00
1993 08 01 00 20    0.00   0.00    NaN   0.00
1993 08 01 00 29    0.00   0.00    NaN   0.00
1993 08 01 00 40    0.00   0.00    NaN   0.00
1993 08 01 00 49    0.00   0.00    NaN   0.00
1993 08 01 01 00    0.00   0.00    NaN   0.00
1993 08 01 01 09    0.00   0.00    NaN   0.00
1993 08 01 01 20    0.00   0.00    NaN   0.00
1993 08 01 01 30    0.00   0.00    NaN   0.00
1993 08 01 01 39    0.00   0.00    NaN   0.00
1993 08 01 01 50    0.00   0.00    NaN   0.00
1993 08 01 01 59    0.00   0.00    NaN   0.00
1993 08 01 02 10    0.00   0.00    NaN   0.00
1993 08 01 02 19    0.00   0.00    NaN   0.00
1993 08 01 02 30    0.00   0.00    NaN   0.00
1993 08 01 02 39    0.00   0.00    NaN   0.00
1993 08 01 02 50    0.00   0.00    NaN   0.00
1993 08 01 03 00    0.00   0.00    NaN   0.00
1993 08 01 03 09    0.00   0.00    NaN   0.00
1993 08 01 03 20    0.00   0.00    NaN   0.00
1993 08 01 03 29    0.00   0.00    NaN   0.00
1993 08 01 03 40    0.00   0.00    NaN   0.00
1993 08 01 03 49    0.00   0.00    NaN   0.00
1993 08 01 04 00    0.00   0.00    NaN   0.00
1993 08 01 04 09    0.00   0.00    NaN   0.00
1993 08 01 04 20    0.00   0.00    NaN   0.00
1993 08 01 04 30    0.00   0.00    NaN   0.00
1993 08 01 04 39    0.00   0.00    NaN   0.00
1993 08 01 04 50    0.00   0.00    NaN   0.00
1993 08 01 04 59    0.00   0.00    NaN   0.00
1993 08 01 05 10    0.00   0.00    NaN   0.00
1993 08 01 05 19    0.00   0.00    NaN   0.00
1993 08 01 05 30    0.00   0.00    NaN   0.00
1993 08 01 05 39    0.00   0.00    NaN   0.00
1993 08 01 05 50    0.00   0.00    NaN   0.00
1993 08 01 06 00    0.00   0.00    NaN   0.00
1993 08 01 06 09    0.00   0.00    NaN   0.00
1993 08 01 06 20    0.00   0.00    NaN   0.00
1993 08 01 06 29    0.00   0.00    NaN   0.00
1993 08 01 06 40    0.00   0.00    NaN   0.00
1993 08 01 06 49    0.00   0.00    NaN   0.00
1993 08 01 07 00    0.00   0.00    NaN   0.00
1993 08 01 07 09    0.00   0.00    NaN   0.00
1993 08 01 07 20    0.00   0.00    NaN   0.00
1993 08 01 07 30    0.00   0.00    NaN   0.00
1993 08 01 07 39    0.00   0.00    NaN   0.00
1993 08 01 07 50    0.00   0.00    NaN   0.00
1993 08 01 07 59    0.00   0.00    NaN   0.00
1993 08 01 08 10    0.00   0.00    NaN   0.00
1993 08 01 08 19    0.00   0.00    NaN   0.00
1993 08 01 08 30    0.00   0.00    NaN   0.00
1993 08 01 08 39    0.00   0.00    NaN   0.00
1993 08 01 08 50    0.00   0.00    NaN   0.00
1993 08 01 09 00    0.00   0.00    NaN   0.00
1993 08 01 09 09    0.00   0.00    NaN   0.00
1993 08 01 09 20    0.00   0.00    NaN   0.00
1993 08 01 09 29    0.00   0.00    NaN   0.00
1993 08 01 09 40    0.00   0.00    NaN   0.00
1993 08 01 09 49    0.00   0.00    NaN   0.00
1993 08 01 10 00    0.00   0.00    NaN   0.00
1993 08 01 10 09    0.00   0.00    NaN   0.00
1993 08 01 10 20    0.00   0.00    NaN   0.00
1993 08 01 10 30    0.00   0.00    NaN   0.00
1993 08 01 10 39    0.00   0.00    NaN   0.00
1993 08 01 10 50    0.00   0.00    NaN   0.00
1993 08 01 10 59    0.00   0.00    NaN   0.00
1993 08 01 11 10    0.00   0.00    NaN   0.00
1993 08 01 11 19    0.00   0.00    NaN   0.00
1993 08 01 11 30    0.00   0.00    NaN   0.00
1993 08 01 11 39    0.00   0.00    NaN   0.00
1993 08 01 11 50    0.00   0.00    NaN   0.00
1993 08 01 12 00    0.00   0.00    NaN   0.00
1993 08 01 12 09    0.00   0.00    NaN   0.00
1993 08 01 12 20    0.00   0.00    NaN   0.00
1993 08 01 12 29    0.00   0.00    NaN   0.00
1993 08 01 12 40    0.00   0.00    NaN   0.00
1993 08 01 12 49    0.00   0.00    NaN   0.00
1993 08 01 13 00    0.00   0.00    NaN   0.00
1993 08 01 13 09    0.00   0.00    NaN   0.00
1993 08 01 13 20    0.00   0.00    NaN   0.00
1993 08 01 13 30    0.00   0.00    NaN   0.00
1993 08 01 13 39    0.00   0.00    NaN   0.00
1993 08 01 13 50    0.00   0.00    NaN   0.00
1993 08 01 13 59    0.00   0.00    NaN   0.00
1993 08 01 14 10    0.00   0.00    NaN   0.00
1993 08 01 14 19    0.00   0.00    NaN   0.00
1993 08 01 14 30    0.00   0.00    NaN   0.00
1993 08 01 14 39    0.00   0.00    NaN   0.00
1993 08 01 14 50    0.00   0.00    NaN   0.00
1993 08 01 15 00    0.00   0.00    NaN   0.00
1993 08 01 15 09    0.00   0.00    NaN   0.00
1993 08 01 15 20    0.00   0.00    NaN   0.00
1993 08 01 15 29    0.00   0.00    NaN   0.00
1993 08 01 15 40    0.00   0.00    NaN   0.00
1993 08 01 15 49    0.00   0.00    NaN   0.00
1993 08 01 16 00    0.00   0.00    NaN   0.00
1993 08 01 16 09    0.00   0.00    NaN   0.00
1993 08 01 16 20    0.00   0.00    NaN   0.00
1993 08 01 16 30    0.00   0.00    NaN   0.00
1993 08 01 16 39    0.00   0.00    NaN   0.00
1993 08 01 16 50    0.00   0.00    NaN   0.00
1993 08 01 16 59    0.00   0.00    NaN   0.00
1993 08 01 17 10    0.00   0.00    NaN   0.00
1993 08 01 17 19    0.00   0.00    NaN   0.00
1993 08 01 17 30    0.00   0.00    NaN   0.00
1993 08 01 17 39    0.00   0.00    NaN   0.00
1993 08 01 17 50    0.00   0.00    NaN   0.00
1993 08 01 18 00    0.00   0.00    NaN   0.00
1993 08 01 18 09    0.00   0.00    NaN   0.00
1993 08 01 18 20    0.00   0.00    NaN   0.00
1993 08 01 18 29    0.00   0.00    NaN   0.00
1993 08 01 18 40    0.00   0.00    NaN   0.00
1993 08 01 18 49    0.00   0.00    NaN   0.00
1993 08 01 19 00    0.00   0.00    NaN   0.00
1993 08 01 19 09    0.00   0.00    NaN   0.00
